adress:	I:/»—œ€“¿Õ»ﬂ/CVG25/25-xxx.exp(002)_s_pr1.txt
format:	CVG25
rows:	30328
columns:	16
frequency:	0
head rows:	7
readability:	True
data names: 	['GyroOut', 'Temperature', 'Frequency', 'ExcitationAmpl', 'QuadratureAmpl', 'RAW_GyroOut', 'RAW_ExcitationAmpl', 'RAW_QuadratureAmpl', 'GyroOut_corr_st1', 'XAmplitude', 'YAmplitude', 'XPhase', 'YPhase', 'Error_(Coriolis)', 'Error_(Quadrature)', 'Error_(Frequency)']
data types: 	['float', 'float', 'float', 'float', 'float', 'float', 'float', 'float', 'float', 'float', 'float', 'float', 'float', 'float', 'float', 'float']
String for DataFileTypes.txt:
F = {1: "GyroOut", 2: "Temperature", 3: "Frequency", 4: "ExcitationAmpl", 5: "QuadratureAmpl", 6: "RAW_GyroOut", 7: "RAW_ExcitationAmpl", 8: "RAW_QuadratureAmpl", 9: "GyroOut_corr_st1", 10: "XAmplitude", 11: "YAmplitude", 12: "XPhase", 13: "YPhase", 14: "Error_(Coriolis)", 15: "Error_(Quadrature)", 16: "Error_(Frequency)", }
-------------------------------
parameters:
	GyroOut:	{'SF': 1, 'b0': 0}
	Temperature:	{'SF': 1, 'b0': 0}
	Frequency:	{'SF': 1, 'b0': 0}
	ExcitationAmpl:	{'SF': 1, 'b0': 0}
	QuadratureAmpl:	{'SF': 1, 'b0': 0}
	RAW_GyroOut:	{'SF': 1, 'b0': 0}
	RAW_ExcitationAmpl:	{'SF': 1, 'b0': 0}
	RAW_QuadratureAmpl:	{'SF': 1, 'b0': 0}
	GyroOut_corr_st1:	{'SF': 1, 'b0': 0}
	XAmplitude:	{'SF': 1, 'b0': 0}
	YAmplitude:	{'SF': 1, 'b0': 0}
	XPhase:	{'SF': 1, 'b0': 0}
	YPhase:	{'SF': 1, 'b0': 0}
	Error_(Coriolis):	{'SF': 1, 'b0': 0}
	Error_(Quadrature):	{'SF': 1, 'b0': 0}
	Error_(Frequency):	{'SF': 1, 'b0': 0}
-------------------------------
first rows:
=============
FileVersion		= 1
SamplingTime[seconds]	= 1.000000000
ScaleFactor		= 0.024000000
CanalCount		= 16
CanalNames		GyroOut Temperature Frequency ExcitationAmpl QuadratureAmpl RAW_GyroOut RAW_ExcitationAmpl RAW_QuadratureAmpl GyroOut_corr_st1 XAmplitude YAmplitude XPhase YPhase Error_(Coriolis) Error_(Quadrature) Error_(Frequency) 


0.007131476	18.423175812	4939.525390625	0.392402977	0.042294905	0.005479728	0.392427623	0.043313146	-0.000120485	0.639998853	0.005226445	0.000000000	45.899997711	-0.000010649	0.000014261	0.000000385
0.007974036	18.456098557	4939.524902344	0.392403185	0.042291380	0.005465733	0.392421156	0.039076354	-0.000119808	0.639999568	0.000232947	0.000000000	45.899997711	0.000027793	-0.000056631	0.000003737
0.007416788	18.492637634	4939.524902344	0.392401099	0.042301003	0.005409881	0.392422229	0.042608447	-0.000180590	0.639999926	0.000208457	0.000000000	45.899997711	0.000001037	0.000005818	-0.000002116
0.006742166	18.528289795	4939.524902344	0.392405689	0.042296443	0.005489042	0.392427415	0.042752653	-0.000091339	0.639997900	0.000208245	0.000000000	45.899997711	0.000000491	0.000022933	0.000000280
0.007873409	18.555831909	4939.524902344	0.392405450	0.042300195	0.005478190	0.392417669	0.041569639	-0.000124373	0.639999032	0.000204506	0.000000000	45.899997711	0.000027222	0.000066453	0.000000185
0.007432055	18.594770432	4939.524902344	0.392401814	0.042296987	0.005478598	0.392426759	0.044269275	-0.000123774	0.639999568	0.000206344	0.000000000	45.899997711	-0.000024869	-0.000009887	0.000008517
0.007271343	18.622573853	4939.524902344	0.392403185	0.042298533	0.005498602	0.392425209	0.041260380	-0.000102845	0.639999092	0.000204735	0.000000000	45.899997711	0.000007746	-0.000020481	0.000001188
0.007476746	18.657247543	4939.524902344	0.392401785	0.042300507	0.005547031	0.392416149	0.042698812	-0.000067186	0.639999866	0.000209136	0.000000000	45.899997711	-0.000006210	-0.000003435	-0.000006169
0.006678263	18.684881210	4939.524902344	0.392401904	0.042296808	0.005503706	0.392418772	0.042224891	-0.000125181	0.639999568	0.000214633	0.000000000	45.899997711	-0.000003467	-0.000002734	-0.000004433
0.007519356	18.711442947	4939.524414062	0.392404139	0.042295843	0.005482217	0.392422825	0.042590879	-0.000171455	0.639998794	0.000216405	0.000000000	45.899997711	-0.000001779	-0.000002436	-0.000003664
0.007367819	18.738407135	4939.524902344	0.392401159	0.042297777	0.005457312	0.392416596	0.042008944	-0.000070908	0.639999211	0.000218889	0.000000000	45.899997711	0.000005586	0.000003618	-0.000009099
0.007302015	18.768413544	4939.524902344	0.392404348	0.042297456	0.005490711	0.392422348	0.042954966	-0.000152955	0.639998376	0.000215616	0.000000000	45.899997711	0.000000077	-0.000000447	-0.000000231
